customer_ID,day,group_size,homeowner,car_age,risk_factor,age_oldest,age_youngest,married_couple,C_previous,duration_previous,cost,car_vv,A,B,C,D,E,F,G,A_last,B_last,C_last,D_last,E_last,F_last,G_last,A_num,B_num,C_num,D_num,E_num,F_num,G_num,A_cheap,B_cheap,C_cheap,D_cheap,E_cheap,F_cheap,G_cheap,A_res,B_res,C_res,D_res,E_res,F_res,G_res
10000027,0,1.0,0.0,17.0,4.0,50.0,50.0,0.0,2.0,1.0,629.4,4.0,0.4,0.0,1.8,1.8,0.0,0.8,2.0,0,0,2,2,0,0,2,2,1,2,2,1,2,1,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0,0,2,2,0,0,1
10000028,5,2.0,1.0,1.0,1.0,44.0,20.0,0.0,1.0,2.0,694.4,4.0,1.4,0.0,1.0,2.6,0.0,2.0,3.0,1,0,1,3,0,2,3,2,1,1,2,1,1,1,2.0,0.0,1.0,3.0,0.0,2.0,3.0,1,0,1,3,0,2,3
10000031,4,1.0,0.0,15.0,,25.0,25.0,0.0,2.0,8.0,662.2857142857143,5.0,1.0,1.0,1.2857142857142858,1.2857142857142858,0.14285714285714285,1.0,1.8571428571428572,1,1,1,1,0,1,2,1,1,2,2,2,1,2,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1,1,1,1,0,1,2
10000032,0,1.0,1.0,12.0,3.0,29.0,29.0,0.0,4.0,14.0,599.6666666666666,5.0,1.6666666666666667,1.0,3.0,3.0,0.0,2.5,2.6666666666666665,2,1,3,3,0,3,3,2,1,1,1,1,3,2,2.0,1.0,3.0,3.0,0.0,3.0,2.0,1,1,3,3,0,2,3
10000033,0,1.0,1.0,8.0,3.0,30.0,30.0,0.0,1.0,5.0,589.0,4.0,0.5,0.0,1.0,1.0,0.0,1.0,1.8333333333333333,1,0,1,1,0,2,2,2,1,1,1,1,2,2,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2,0,1,1,0,1,2
10000034,3,1.0,1.0,8.0,3.0,61.0,61.0,0.0,3.0,3.0,607.1666666666666,7.0,2.0,0.6666666666666666,2.0,2.8333333333333335,0.0,2.0,3.0,2,1,2,3,0,2,2,1,2,1,2,1,1,2,2.0,1.0,2.0,3.0,0.0,2.0,2.0,2,1,2,3,0,2,2
10000036,0,2.0,1.0,26.0,1.0,60.0,56.0,1.0,3.0,15.0,577.2,3.0,0.2,1.0,3.0,3.0,0.2,2.0,3.0,0,1,3,3,0,2,3,2,1,1,1,2,1,1,0.0,1.0,3.0,3.0,0.0,2.0,3.0,1,1,3,3,0,2,3
10000037,5,1.0,1.0,1.0,4.0,58.0,58.0,0.0,1.0,4.6,670.6,7.0,2.0,0.0,1.0,1.0,1.0,3.0,2.0,2,0,1,1,1,3,2,1,1,1,1,1,1,1,2.0,0.0,1.0,1.0,1.0,3.0,2.0,1,0,1,2,1,2,2
10000038,2,1.0,0.0,7.0,,65.0,37.0,1.0,1.0,0.0,651.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1,1,1,1,1,2,2
10000039,2,1.0,1.0,4.0,,49.0,49.0,0.0,2.0,4.0,648.25,6.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,1,1,3,3,1,2,3,1,1,1,1,1,1,1,1.0,1.0,3.0,3.0,1.0,2.0,3.0,1,1,3,3,1,2,3
10000040,2,1.0,1.0,6.0,,26.0,26.0,0.0,3.0,5.0,623.0,5.0,1.0,0.3333333333333333,3.0,3.0,0.3333333333333333,2.0,1.0,1,1,3,3,1,2,1,1,2,1,1,2,1,1,1.0,0.0,3.0,3.0,0.0,2.0,1.0,1,1,3,3,1,2,1
10000041,4,1.0,1.0,14.0,,56.0,56.0,0.0,1.0,4.0,584.5714285714286,4.0,0.14285714285714285,1.0,1.1428571428571428,1.2857142857142858,0.14285714285714285,0.14285714285714285,2.7142857142857144,0,1,1,1,0,0,3,2,1,2,2,2,2,2,0.0,1.0,1.0,1.0,0.0,0.0,2.5,0,1,1,1,0,0,3
10000042,0,3.0,0.0,9.0,3.0,65.0,17.0,1.0,3.0,15.0,698.3333333333334,5.0,1.0,1.0,3.0,3.0,1.0,1.0,3.3333333333333335,1,1,3,3,1,1,3,1,1,1,1,1,1,2,1.0,1.0,3.0,3.0,1.0,1.0,4.0,1,1,3,3,1,1,3
10000043,4,1.0,1.0,3.0,2.0,51.0,51.0,0.0,3.0,4.0,599.0,6.0,1.0,0.0,3.0,3.0,0.6666666666666666,0.0,2.0,1,0,3,3,0,0,2,1,1,1,1,2,1,1,1.0,0.0,3.0,3.0,1.0,0.0,2.0,1,0,3,3,0,0,2
10000047,0,1.0,1.0,6.0,3.0,24.0,24.0,0.0,4.0,6.0,595.7142857142857,5.0,1.0,0.0,3.142857142857143,3.0,0.8571428571428571,1.0,3.0,1,0,3,3,1,1,3,1,1,2,1,2,1,1,1.0,0.0,3.0,3.0,1.0,1.0,3.0,1,0,3,3,1,1,3
10000048,0,1.0,1.0,10.0,,52.0,52.0,0.0,1.0,1.0,571.875,8.0,0.125,0.0,1.0,1.0,0.0,0.25,2.875,0,0,1,1,0,0,3,2,1,1,1,1,2,2,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0,0,1,1,0,0,3
10000049,3,1.0,0.0,17.0,,43.0,43.0,0.0,3.0,7.0,623.4444444444445,3.0,0.1111111111111111,1.0,1.0,1.1111111111111112,0.1111111111111111,0.2222222222222222,2.0,0,1,1,1,0,0,2,2,1,1,2,2,2,1,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0,1,1,1,0,0,2
10000052,0,1.0,0.2857142857142857,8.0,1.0,24.0,24.0,0.0,3.0,3.0,615.1428571428571,4.0,2.0,1.0,3.0,3.0,1.0,2.5714285714285716,3.0,2,1,3,3,1,3,3,1,1,1,1,1,2,1,2.0,1.0,3.0,3.0,1.0,3.0,3.0,2,1,3,3,1,3,3
10000054,2,2.0,1.0,7.0,1.0,75.0,75.0,1.0,1.0,3.0,650.0,6.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1,0,1,1,0,2,2,1,1,1,1,1,1,1,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1,1,1,2,1,2,3
10000055,3,1.0,1.0,9.0,4.0,75.0,75.0,0.0,4.0,13.666666666666666,637.5,5.0,1.0,1.0,3.8333333333333335,3.0,0.0,2.0,2.0,1,1,4,3,0,2,2,1,1,2,1,1,1,1,1.0,1.0,3.0,3.0,0.0,2.0,2.0,2,1,4,3,0,1,2
10000057,2,1.0,1.0,8.0,,56.0,56.0,0.0,2.0,15.0,626.1428571428571,5.0,1.0,0.0,3.0,3.0,1.0,0.0,1.8571428571428572,1,0,3,3,1,0,2,1,1,1,1,1,1,2,1.0,0.0,3.0,3.0,1.0,0.0,1.0,1,0,3,3,1,0,2
10000059,2,1.0,0.0,5.0,3.0,42.0,42.0,0.0,3.0,2.0,715.6666666666666,5.0,2.0,1.0,3.0,2.6666666666666665,1.0,0.0,1.8333333333333333,2,1,3,3,1,0,1,1,1,1,2,1,1,2,2.0,1.0,3.0,2.5,1.0,0.0,2.0,2,1,3,3,1,0,1
10000060,3,1.0,0.0,11.0,,41.0,41.0,0.0,1.0,0.0,603.625,6.0,0.0,0.0,1.125,1.125,0.0,0.0,1.875,0,0,2,2,0,0,2,1,1,2,2,1,1,2,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1,0,1,1,0,2,2
10000061,3,1.0,1.0,14.0,,43.0,43.0,0.0,1.0,10.0,630.4,6.0,1.6,0.8,1.0,1.0,0.8,1.6,3.0,2,1,1,1,1,2,3,2,2,1,1,2,2,1,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2,1,1,1,1,2,3
10000062,2,1.0,1.0,2.0,1.0,43.0,43.0,0.0,3.0,3.0,647.4,6.0,1.0,1.0,1.8,2.0,1.0,1.0,3.0,1,1,1,2,1,1,3,1,1,2,1,1,1,1,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1,1,3,2,1,1,3
10000063,0,1.0,0.0,2.0,,21.0,21.0,0.0,3.0,1.0,686.6666666666666,7.0,2.0,0.0,3.0,3.0,0.0,3.0,3.1666666666666665,2,0,3,3,0,3,3,1,1,1,1,1,1,2,2.0,0.0,3.0,3.0,0.0,3.0,3.5,2,0,3,3,0,3,3
10000064,2,1.0,0.0,13.0,,18.0,18.0,0.0,,,731.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0,0,2,1,0,0,2,1,1,1,1,1,1,1,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0,0,2,2,0,0,2
10000066,2,1.0,1.0,5.0,4.0,68.0,68.0,0.0,3.0,9.0,606.5,6.0,1.0,0.0,3.0,3.0,0.0,2.0,2.0,1,0,3,3,0,2,2,1,1,1,1,1,1,1,1.0,0.0,3.0,3.0,0.0,2.0,2.0,1,0,3,3,0,2,2
10000068,0,1.0,1.0,6.0,2.0,25.0,25.0,0.0,3.0,9.0,588.0,5.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,1,0,3,3,0,0,2,1,1,1,1,1,1,1,1.0,0.0,3.0,3.0,0.0,0.0,2.0,1,0,3,3,0,0,2
10000069,3,2.0,0.0,20.0,,51.0,47.0,1.0,4.0,0.0,623.8,6.0,0.0,0.6,2.0,2.0,0.0,2.0,1.4,0,1,2,2,0,2,1,1,2,1,1,1,1,2,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0,1,2,2,0,2,1
10000072,0,1.0,1.0,2.0,,26.0,26.0,0.0,1.0,2.0,651.5,7.0,1.6666666666666667,0.0,1.0,1.0,0.0,1.6666666666666667,2.3333333333333335,2,0,1,1,0,2,2,2,1,1,1,1,2,2,0.0,0.0,1.0,1.0,0.0,0.0,4.0,2,0,1,1,0,2,2
10000075,4,1.0,0.0,4.0,3.0,23.0,23.0,0.0,1.0,8.0,677.25,7.5,0.75,0.0,1.0,1.0,0.0,1.5,2.5,1,0,1,1,0,2,2,2,1,1,1,1,2,2,0.0,0.0,1.0,1.0,0.0,0.0,4.0,2,1,1,1,0,2,2
10000076,0,1.0,0.0,14.0,,69.0,27.0,0.0,3.0,0.0,697.4285714285714,6.0,1.4285714285714286,0.0,1.2857142857142858,1.2857142857142858,0.8571428571428571,0.0,1.2857142857142858,2,0,1,1,1,0,2,3,1,2,2,2,1,2,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2,0,1,1,1,0,2
10000077,4,1.0,0.0,2.0,,32.0,32.0,0.0,3.0,10.0,602.125,5.0,1.375,0.0,2.5,2.75,0.125,1.75,2.0,1,0,3,3,0,1,2,2,1,3,2,2,2,1,2.0,0.0,1.0,1.0,0.0,3.0,2.0,1,0,3,3,0,1,2
10000078,4,2.0,1.0,8.0,1.0,52.0,46.0,1.0,1.0,15.0,608.75,4.0,0.0,0.0,1.0,2.0,0.0,0.0,2.75,0,0,1,2,0,0,3,1,1,1,1,1,1,2,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0,0,1,2,0,0,3
10000079,0,1.0,1.0,2.0,4.0,38.0,38.0,0.0,3.0,15.0,613.5,5.0,0.8333333333333334,0.0,2.6666666666666665,2.6666666666666665,0.0,0.8333333333333334,2.3333333333333335,1,0,3,3,0,1,2,2,1,2,2,1,2,2,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1,0,3,3,0,1,2
10000080,1,1.0,1.0,4.0,3.0,43.0,43.0,0.0,4.0,5.0,660.0,6.0,1.0,0.0,3.6666666666666665,3.0,0.0,1.0,3.6666666666666665,1,0,4,3,0,1,4,1,1,2,1,1,1,2,1.0,0.0,3.0,3.0,0.0,1.0,3.0,1,0,4,3,0,1,4
10000082,5,1.0,0.0,1.0,3.0,24.0,24.0,0.0,3.0,2.0,726.5,6.0,1.875,0.125,3.0,3.0,0.125,0.0,1.25,2,0,3,3,0,0,1,2,2,1,1,2,1,2,2.0,0.0,3.0,3.0,0.0,0.0,1.0,2,0,3,3,0,0,2
10000084,4,1.0,0.0,1.0,3.0,22.0,22.0,0.0,4.0,1.0,670.25,5.0,1.0,0.0,3.0,3.0,0.375,0.0,1.125,1,0,3,3,0,0,2,1,1,1,1,2,1,2,1.0,0.0,3.0,3.0,0.0,0.0,1.0,1,0,3,3,0,0,1
10000086,1,1.0,0.0,6.0,2.0,37.0,37.0,0.0,3.0,4.0,621.7142857142857,4.0,0.2857142857142857,0.2857142857142857,2.7142857142857144,2.7142857142857144,0.2857142857142857,0.5714285714285714,2.2857142857142856,1,1,3,3,1,2,2,2,2,2,2,2,2,2,0.0,0.0,3.0,3.0,0.0,0.0,2.0,1,1,3,3,1,2,2
10000088,1,1.0,0.0,9.0,2.0,59.0,59.0,0.0,2.0,4.0,535.0,6.0,0.0,0.0,1.5,1.5,0.0,0.0,1.0,0,0,2,2,0,0,1,1,1,2,2,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,2,2,0,0,2
10000091,4,1.0,1.0,1.0,1.0,51.0,51.0,0.0,1.0,11.0,633.3333333333334,5.0,0.8888888888888888,0.6666666666666666,1.0,1.0,0.8888888888888888,1.4444444444444444,2.888888888888889,1,0,1,1,1,1,3,2,2,1,1,2,3,2,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1,0,1,1,1,1,3
10000092,0,1.0,0.0,8.0,,39.0,36.0,1.0,1.0,1.625,708.4444444444445,7.0,1.0,0.0,1.0,1.0,0.1111111111111111,2.0,1.4444444444444444,1,0,1,1,0,2,1,1,1,1,1,2,1,2,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1,0,1,1,0,2,1
10000094,0,2.0,1.0,1.0,2.0,60.0,53.0,1.0,4.0,7.0,596.625,7.0,1.0,1.0,3.75,3.0,0.125,1.0,2.5,1,1,4,3,0,1,3,1,1,2,1,2,1,2,1.0,1.0,4.0,3.0,0.0,1.0,1.0,1,1,4,3,0,1,3
10000095,4,1.0,0.0,13.0,,23.0,23.0,0.0,,,605.5,,0.0,0.5,1.0,1.0,0.0,0.0,2.0,0,1,1,1,0,0,2,1,2,1,1,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0,0,1,1,0,0,1
10000096,1,1.0,0.0,1.0,4.0,55.0,55.0,0.0,2.0,5.6,625.8,8.0,1.0,0.2,3.0,3.0,1.0,2.0,1.4,1,0,3,3,1,2,1,1,2,1,1,1,1,2,1.0,0.0,3.0,3.0,1.0,2.0,1.0,1,0,3,3,1,2,1
10000097,0,2.0,0.7142857142857143,2.0,,43.0,37.0,0.0,1.0,6.0,630.7142857142857,5.0,0.8571428571428571,0.0,1.0,1.8571428571428572,0.0,1.7142857142857142,2.2857142857142856,1,0,1,2,0,2,2,2,1,1,2,1,2,2,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1,0,1,2,0,2,2
10000098,2,1.0,0.0,2.0,4.0,28.0,28.0,0.0,3.0,1.0,619.5,6.0,0.5,0.0,2.5,2.5,0.0,2.0,2.5,1,0,3,3,0,2,3,2,1,2,2,1,1,2,0.0,0.0,2.0,2.0,0.0,2.0,2.0,1,1,3,3,1,2,3
10000100,3,1.0,0.0,1.0,1.0,23.0,23.0,0.0,3.0,0.0,680.25,5.0,1.0,1.0,3.0,3.0,1.0,1.625,3.0,1,1,3,3,1,1,3,1,1,1,1,1,2,1,1.0,1.0,3.0,3.0,1.0,2.0,3.0,1,1,3,3,1,1,3
10000103,0,1.0,1.0,1.0,3.0,75.0,75.0,0.0,3.8,4.8,584.4,6.0,1.0,0.0,4.0,3.0,1.0,2.0,3.0,1,0,4,3,1,2,3,1,1,1,1,1,1,1,1.0,0.0,4.0,3.0,1.0,2.0,3.0,2,0,4,3,1,2,3
10000104,0,1.0,1.0,10.0,2.0,71.0,71.0,0.0,3.0,4.0,612.3333333333334,7.0,0.6666666666666666,0.0,3.0,2.6666666666666665,0.6666666666666666,0.6666666666666666,3.3333333333333335,1,0,3,3,1,1,3,2,1,1,2,2,2,2,0.0,0.0,3.0,2.0,0.0,0.0,4.0,1,0,3,3,1,1,3
10000105,1,1.0,0.0,11.0,3.0,32.857142857142854,20.0,0.0,3.0,5.0,653.8571428571429,7.0,1.0,0.0,3.0,2.0,0.0,1.0,2.0,1,0,3,2,0,1,2,1,1,1,1,1,1,1,1.0,0.0,3.0,2.0,0.0,1.0,2.0,1,0,3,2,0,1,2
10000107,0,1.0,0.0,12.0,4.0,41.0,41.0,0.0,3.0,2.0,598.1666666666666,5.0,1.0,0.6666666666666666,1.0,2.0,1.0,1.6666666666666667,2.5,1,1,1,2,1,2,3,1,2,1,1,1,2,2,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1,1,1,2,1,2,3
10000108,2,1.0,0.0,11.0,3.0,21.0,21.0,0.0,3.0,1.0,665.125,7.0,0.125,0.0,2.125,3.0,0.0,0.125,2.0,0,0,2,3,0,0,2,2,1,2,1,1,2,1,0.0,0.0,2.0,3.0,0.0,0.0,2.0,1,0,2,3,0,1,1
10000111,4,1.0,1.0,10.0,2.0,22.0,22.0,0.0,3.0,8.0,641.4,6.0,1.0,0.8,1.8,2.4,0.2,2.0,3.0,1,1,1,2,0,2,3,1,2,2,2,2,1,1,1.0,0.0,1.0,2.0,1.0,2.0,3.0,1,1,3,3,0,2,3
10000112,2,1.0,1.0,3.0,3.0,41.0,41.0,0.0,,,623.3333333333334,6.0,0.6666666666666666,0.0,3.0,2.3333333333333335,0.6666666666666666,0.6666666666666666,2.6666666666666665,1,0,4,3,1,1,3,2,1,2,2,2,2,2,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1,0,4,3,1,1,3
10000113,1,1.0,0.0,15.0,2.0,55.0,55.0,0.0,3.0,15.0,596.25,6.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,1,0,3,3,1,1,1,1,1,1,1,1,1,1,1.0,0.0,3.0,3.0,1.0,1.0,1.0,1,1,3,3,1,1,2
10000115,2,2.0,1.0,11.0,3.0,37.0,36.0,1.0,2.0,9.0,568.4,7.0,1.0,0.0,3.0,2.2,0.0,0.4,1.0,1,0,3,2,0,0,1,1,1,1,2,1,2,1,1.0,0.0,3.0,2.0,0.0,0.0,1.0,1,0,3,2,0,0,1
10000116,4,1.0,0.0,14.0,,25.0,25.0,0.0,4.0,6.0,616.625,5.0,0.0,0.0,3.5,3.0,0.0,0.0,2.875,0,0,3,3,0,0,3,1,1,2,1,1,1,3,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0,0,3,3,0,0,3
10000117,4,1.0,1.0,13.0,1.0,70.0,70.0,0.0,3.0,5.0,567.5,5.0,1.0,0.0,3.0,2.0,1.0,0.0,2.0,1,0,3,2,1,0,2,1,1,1,1,1,1,1,1.0,0.0,3.0,2.0,1.0,0.0,2.0,1,0,3,2,1,0,2
10000118,4,1.0,0.0,3.0,2.0,25.0,25.0,0.0,3.0,9.0,615.3333333333334,5.0,0.5,0.5,2.6666666666666665,3.0,0.5,0.0,2.3333333333333335,1,1,3,3,1,0,2,2,2,2,1,2,1,2,0.0,0.0,3.0,3.0,0.0,0.0,2.0,1,1,3,3,1,0,2
10000121,2,1.0,0.0,4.0,,39.0,39.0,0.0,1.0,1.0,648.4285714285714,6.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1,0,1,2,0,2,1,1,1,1,1,1,1,1,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1,0,1,3,0,2,1
10000122,4,1.0,0.0,6.0,,21.0,21.0,0.0,1.0,4.0,678.25,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2,1,1,2,1,3,2
10000123,2,1.0,1.0,4.0,3.0,37.0,37.0,0.0,,,620.6666666666666,7.0,1.0,0.0,3.8333333333333335,3.0,0.0,1.0,1.8333333333333333,1,0,4,3,0,1,1,1,1,2,1,1,1,3,1.0,0.0,3.6666666666666665,3.0,0.0,1.0,2.0,1,0,4,3,0,1,1
10000124,3,4.0,1.0,19.0,1.0,61.0,34.0,1.0,3.0,15.0,534.0,4.0,0.0,0.6666666666666666,3.0,3.0,0.0,0.0,2.6666666666666665,0,1,3,3,0,0,2,1,2,1,1,1,1,2,0.0,1.0,3.0,3.0,0.0,0.0,2.0,0,1,3,3,0,0,1
10000125,1,1.0,1.0,1.0,2.0,52.0,52.0,0.0,3.0,12.0,607.7,6.0,1.2,1.0,1.4,3.0,1.0,2.0,3.8,1,1,1,3,1,2,4,2,1,2,1,1,1,2,1.0,1.0,1.0,3.0,1.0,2.0,3.0,1,1,1,3,1,2,4
10000126,5,2.0,0.0,8.0,,38.0,36.0,1.0,3.0,4.0,643.5,6.0,1.0,1.0,3.0,2.0,1.0,2.0,4.0,1,1,3,2,1,2,4,1,1,1,1,1,1,1,1.0,1.0,3.0,2.0,1.0,2.0,4.0,1,1,3,2,1,1,4
10000127,1,1.0,1.0,1.0,1.0,71.0,71.0,0.0,3.0,4.0,597.0,5.0,1.0,0.0,3.0,3.0,0.0,2.0,3.0,1,0,3,3,0,2,3,1,1,1,1,1,1,1,1.0,0.0,3.0,3.0,0.0,2.0,3.0,1,0,3,3,0,2,3
10000128,1,1.0,0.0,18.0,,24.0,24.0,0.0,2.0,5.0,595.0,3.0,0.3333333333333333,1.0,2.3333333333333335,3.0,0.3333333333333333,0.3333333333333333,1.8333333333333333,0,1,2,3,0,0,2,2,1,2,1,2,2,3,0.0,1.0,2.0,3.0,0.0,0.0,2.0,0,1,2,3,0,0,2
10000129,2,1.0,1.0,12.0,4.0,54.0,54.0,0.0,1.0,1.0,663.25,7.0,1.0,1.0,1.0,2.5,0.0,2.0,1.0,1,1,1,2,0,2,1,1,1,1,2,1,1,1,1.0,1.0,1.0,2.5,0.0,2.0,1.0,1,1,1,2,1,2,2
10000130,4,2.0,0.0,12.0,4.0,40.0,39.0,1.0,2.0,8.0,628.1666666666666,4.0,1.0,0.0,2.0,3.0,0.0,1.6666666666666667,4.0,1,0,2,3,0,2,4,1,1,1,1,1,2,1,1.0,0.0,2.0,3.0,0.0,0.0,4.0,1,0,2,3,0,2,4
10000131,3,1.0,1.0,8.0,,47.0,47.0,0.0,1.0,15.0,643.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0,4.0,2,1,1,3,1,2,4,1,1,1,1,1,1,1,2.0,1.0,1.0,3.0,1.0,2.0,4.0,2,1,1,3,1,2,4
10000132,4,1.0,0.0,10.0,,21.0,21.0,0.0,2.0,1.0,638.0,5.0,2.0,0.0,3.0,3.0,0.0,2.0,2.0,2,0,3,3,0,2,2,1,1,1,1,1,1,1,2.0,0.0,3.0,3.0,0.0,2.0,2.0,2,0,2,3,0,2,3
10000133,0,1.0,0.0,2.0,4.0,25.0,25.0,0.0,4.0,1.0,631.0,8.0,1.0,1.0,4.0,3.0,0.0,2.0,2.2,1,1,4,3,0,2,2,1,1,1,1,1,1,2,1.0,1.0,4.0,3.0,0.0,2.0,2.0,1,1,4,3,0,2,2
10000134,1,1.0,0.0,7.0,,42.0,42.0,0.0,3.0,1.0,669.6666666666666,6.0,1.0,0.0,3.0,3.0,0.2222222222222222,0.0,1.8888888888888888,1,0,3,3,1,0,2,1,1,1,1,2,1,2,1.0,0.0,3.0,3.0,0.0,0.0,1.0,1,0,2,3,1,0,2
10000135,2,1.0,0.0,7.0,,20.0,20.0,0.0,1.0,1.0,640.5,4.0,0.125,1.0,1.0,1.0,0.125,0.25,1.0,0,1,1,1,0,0,1,2,1,1,1,2,2,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,1,1,1,0,0,1
10000136,1,2.0,0.0,15.0,,46.0,41.0,0.0,3.0,2.0,612.6,5.0,0.2,0.2,3.2,3.0,0.2,0.4,3.2,0,0,3,3,0,0,3,2,2,2,1,2,2,2,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0,0,3,3,0,0,3
10000137,2,2.0,1.0,22.0,,43.0,43.0,1.0,2.0,1.0,640.625,5.0,1.0,0.0,2.0,3.0,0.0,1.875,2.0,1,0,2,3,0,2,2,1,1,1,1,1,2,1,1.0,0.0,2.0,3.0,0.0,2.0,2.0,1,0,2,3,0,2,2
